,"t, hr","md, ft",prom_wob,prom_rpm,prom_q,prom_tq,p_ma_psi,rop_pph
625,4.5,6805,12.0,40.0,500.0,9.0,1700,30.0
626,4.0,6925,12.0,40.0,500.0,9.0,1700,30.0
627,20.0,7610,25.0,65.0,840.0,15.0,3950,34.0
628,25.0,7610,18.0,0.0,840.0,0.0,3650,34.0
629,11.0,7850,32.0,40.0,520.0,15.5,2250,22.0
630,13.0,8200,23.0,50.0,710.0,15.0,3550,27.0
631,13.0,8200,25.0,0.0,7200.0,0.0,3600,27.0
632,7.0,8286,36.0,50.0,760.0,15.0,3800,12.0
633,23.5,8970,17.5,45.0,675.0,21.0,3800,30.0
634,23.5,8970,12.0,0.0,705.0,0.0,3500,30.0
635,2.5,9072,17.5,45.0,675.0,21.0,3800,41.0
636,9.5,4670,10.5,65.0,750.0,10.0,3900,70.0
637,9.5,4670,7.0,0.0,750.0,0.0,3400,70.0
638,14.5,5600,8.0,70.0,845.0,10.0,3800,64.0
639,14.5,5600,7.0,0.0,845.0,0.0,3500,64.0
640,3.0,5890,21.0,70.0,840.0,13.5,3800,97.0
641,7.0,6585,24.5,72.5,850.0,13.0,3700,100.0
642,7.0,6585,6.0,0.0,850.0,0.0,3700,100.0
643,9.5,6864,26.0,40.0,500.0,9.5,1800,30.0
644,7.5,7060,22.5,77.5,860.0,13.0,3850,26.0
645,15.5,7583,35.0,80.0,805.0,13.0,3950,34.0
646,1.5,7643,35.0,80.0,805.0,13.0,3950,40.0
647,6.0,7770,34.0,40.0,500.0,13.0,2150,22.0
648,6.0,7890,34.0,40.0,500.0,13.0,2150,20.0
649,21.5,8345,38.0,65.0,745.0,12.5,3900,21.0
650,21.5,8345,26.0,0.0,720.0,0.0,3850,21.0
651,1.5,8358,38.0,65.0,745.0,12.5,3900,9.0
652,1.5,8358,26.0,0.0,720.0,0.0,3850,9.0
653,1.0,8418,9.5,60.0,390.0,12.5,2350,60.0
654,16.0,9250,13.5,75.0,440.0,16.0,2350,52.0
655,16.0,9250,19.5,0.0,440.0,0.0,2150,52.0
656,20.5,5813,15.5,65.0,825.0,17.0,3900,88.0
657,20.5,5813,12.0,0.0,875.0,0.0,3700,88.0
658,11.5,6738,19.5,70.0,870.0,19.0,3800,80.0
659,11.5,6738,11.0,0.0,880.0,0.0,3450,80.0
660,6.0,6880,9.0,40.0,550.0,19.5,2100,24.0
661,3.0,6970,9.0,40.0,550.0,20.5,2100,30.0
662,15.0,7595,20.0,70.0,840.0,20.5,3900,42.0
663,6.0,7710,25.0,35.0,550.0,21.0,2350,19.0
664,24.0,8250,22.5,35.0,575.0,21.0,2800,22.5
665,1.5,8280,22.5,35.0,575.0,21.0,2800,20.0
666,4.5,6232,10.0,70.0,700.0,19.5,2100,60.0
667,9.5,6522,3.0,40.0,600.0,17.0,1600,31.0
668,2.0,6619,10.0,70.0,700.0,14.5,2250,49.0
669,5.0,6743,10.0,70.0,700.0,19.5,2250,25.0
670,5.0,6743,24.0,0.0,700.0,0.0,2150,25.0
671,9.0,6997,7.0,40.0,600.0,19.5,2000,28.0
672,10.0,7490,13.0,75.0,850.0,19.5,3800,50.0
673,3.0,7620,13.0,75.0,850.0,19.5,3800,45.0
674,21.0,8169,15.0,40.0,600.0,17.5,2500,26.0
675,0.5,8180,15.0,37.5,600.0,17.5,2500,25.0
676,2.5,8266,18.5,70.0,820.0,17.0,3900,35.0
677,2.5,8363,18.5,70.0,820.0,17.0,3900,39.0
678,1.0,8373,18.5,70.0,820.0,17.0,3900,10.0
679,3.0,8393,18.5,0.0,800.0,0.0,3900,7.0
680,4.0,8460,18.5,70.0,800.0,21.5,3900,16.75
681,2.0,8540,6.5,65.0,740.0,23.0,3900,26.66
682,2.0,8540,7.0,0.0,740.0,0.0,3700,26.66
683,13.0,9102,10.0,60.0,710.0,19.5,3950,43.0
684,8.0,6417,15.0,65.0,850.0,19.0,3000,70.0
685,4.5,6637,8.5,70.0,850.0,19.0,3000,50.0
686,9.5,6888,12.0,40.0,575.0,19.5,2100,26.0
687,10.0,7135,15.0,80.0,850.0,20.0,3850,24.7
688,14.0,7557,25.0,80.0,850.0,20.0,3950,30.0
689,14.0,7557,17.5,0.0,850.0,0.0,3650,30.0
690,10.0,7800,12.0,40.0,600.0,19.0,2860,24.0
691,14.0,8128,12.0,40.0,600.0,19.0,2860,23.0
692,17.5,9055,15.0,75.0,750.0,20.0,3900,52.97
693,2.5,5958,17.5,80.0,900.0,15.0,3800,85.2
694,5.0,6441,17.5,80.0,900.0,15.0,3800,96.6
695,7.0,6858,20.0,75.0,850.0,14.5,3600,59.57
696,7.0,6858,9.0,0.0,800.0,0.0,2600,59.57
697,5.5,7020,9.0,40.0,550.0,15.0,1800,29.45
698,1.5,7055,11.5,40.0,550.0,14.5,1900,23.33
699,7.0,7213,14.0,40.0,550.0,15.0,1800,22.57
700,17.0,7910,27.5,75.0,850.0,17.0,3800,41.0
701,3.5,8055,29.0,75.0,850.0,17.0,3900,41.4
702,20.5,8565,27.5,40.0,550.0,18.5,2200,24.87
703,6.5,8737,24.0,40.0,550.0,18.5,2200,26.46
704,20.0,8962,14.0,70.0,675.0,19.0,3200,11.25
705,20.0,8962,7.5,0.0,600.0,0.0,2300,11.25
706,24.0,9245,21.5,57.5,750.0,18.0,2600,11.8
707,24.0,9245,7.5,0.0,625.0,0.0,2250,11.8
708,4.0,9331,21.5,60.0,750.0,20.0,3800,21.5
709,4.0,9331,7.5,0.0,600.0,0.0,2300,21.5
710,7.0,9660,21.5,60.0,750.0,20.0,3800,41.0
711,10.5,6260,17.0,80.0,880.0,16.5,3100,40.2
712,10.5,6260,13.0,0.0,750.0,0.0,2650,40.2
713,9.0,6611,14.0,80.0,880.0,17.0,3600,39.0
714,9.0,6611,12.0,0.0,750.0,0.0,2600,39.0
715,12.5,6891,10.0,40.0,550.0,17.0,1800,22.4
716,2.5,7070,13.0,70.0,800.0,15.0,3250,71.6
717,11.5,7515,28.0,72.5,805.0,20.0,3750,38.7
718,11.5,7515,19.0,0.0,700.0,0.0,2800,38.7
719,2.5,7610,28.0,75.0,830.0,20.0,3750,38.0
720,9.0,7855,11.0,40.0,550.0,18.0,2000,27.2
721,21.0,8169,25.0,45.0,575.0,19.0,2600,15.0
722,2.5,8304,19.0,90.0,780.0,22.0,3900,38.4
723,14.5,8978,20.0,85.0,760.0,19.0,3800,46.5
724,14.5,8978,14.0,0.0,725.0,0.0,3600,46.5
725,1.3,5562,20.5,75.0,875.0,14.5,3800,114.0
726,3.3,5998,25.0,70.0,830.0,19.5,3900,125.0
727,1.0,6094,22.5,70.0,800.0,17.5,3200,96.0
728,8.0,7000,27.5,75.0,870.0,17.5,3800,113.0
729,9.0,7240,14.0,40.0,550.0,11.5,1900,27.0
730,4.0,7353,17.0,40.0,550.0,11.5,2000,28.0
731,8.0,7858,27.5,80.0,815.0,17.5,3850,63.0
732,11.0,8215,25.5,85.0,790.0,17.5,3850,32.0
733,11.0,8215,23.0,0.0,725.0,0.0,3400,32.0
734,8.0,8417,27.5,40.0,550.0,16.0,2300,25.0
735,21.0,8965,27.5,40.0,550.0,18.5,2500,27.0
736,1.5,5850,25.0,60.0,825.0,15.0,3700,120.0
737,1.5,5850,12.0,0.0,825.0,0.0,2950,120.0
738,4.0,6160,25.0,70.0,860.0,18.5,3600,77.5
739,4.0,6160,20.0,0.0,840.0,0.0,2800,77.5
740,16.0,6550,17.5,60.0,830.0,20.0,3400,25.0
741,16.0,6550,20.0,0.0,830.0,0.0,2800,25.0
742,8.0,6710,25.0,60.0,580.0,15.0,2045,8.0
743,4.0,6768,25.0,40.0,590.0,21.5,2045,14.5
744,14.0,7106,25.0,65.0,860.0,13.5,3700,25.0
745,8.0,7486,22.5,80.0,750.0,19.0,3900,48.0
746,4.0,7607,22.5,80.0,750.0,19.0,3900,26.8
747,9.5,7859,12.5,40.0,550.0,19.0,2200,26.5
748,11.0,8067,27.5,80.0,850.0,16.0,3900,18.0
749,9.5,8570,27.5,80.0,850.0,16.0,3900,53.0
750,19.0,9167,22.5,80.0,740.0,20.0,3900,31.0
751,6.5,6480,27.5,70.0,880.0,17.5,2800,70.0
752,4.5,6610,7.0,40.0,600.0,15.0,1800,29.0
753,5.0,6745,7.0,40.0,600.0,15.0,1800,27.0
754,10.5,7545,23.5,80.0,880.0,20.0,3600,76.0
755,8.5,7780,7.0,40.0,600.0,17.0,1800,27.65
756,4.5,7895,7.0,40.0,600.0,17.0,1800,25.55
757,1.5,7962,27.5,80.0,850.0,17.0,3800,44.66
758,1.5,8064,18.5,80.0,780.0,17.0,3800,68.0
759,12.0,8944,18.5,77.5,765.0,16.5,3800,73.0
760,6.0,4760,22.5,70.0,830.0,11.0,3200,123.0
761,6.0,4760,10.0,0.0,830.0,0.0,3200,123.0
762,2.0,4968,22.5,70.0,830.0,11.0,3500,104.0
763,2.0,4968,10.0,0.0,830.0,0.0,3200,104.0
764,10.5,5987,22.5,75.0,830.0,11.0,3850,97.0
765,10.5,5987,10.0,0.0,830.0,0.0,3300,97.0
766,2.0,6176,22.5,70.0,830.0,11.0,3250,106.0
767,3.5,6490,22.5,70.0,830.0,13.0,3250,82.0
768,3.0,6613,10.0,40.0,500.0,13.5,1700,41.0
769,6.5,6840,22.5,75.0,830.0,16.0,3700,35.0
770,6.5,6840,11.5,0.0,50.0,0.0,2800,35.0
771,2.0,6878,19.0,40.0,550.0,15.5,2100,19.0
772,8.5,7090,19.0,40.0,550.0,15.5,2100,25.0
773,1.0,7116,19.0,80.0,800.0,18.0,3600,26.0
774,8.0,7290,12.5,60.0,780.0,18.0,3600,22.0
775,8.0,7290,10.0,0.0,780.0,0.0,3500,22.0
776,19.0,7954,25.0,80.0,760.0,17.5,3700,30.0
777,19.0,7954,17.0,0.0,760.0,0.0,3400,30.0
778,5.0,8080,21.5,40.0,500.0,14.0,1850,27.0
779,10.0,8380,36.5,80.0,750.0,16.0,3750,30.0
780,7.0,8465,36.5,70.0,750.0,16.0,3750,12.0
781,3.5,8725,17.0,70.0,700.0,19.5,3800,74.0
782,17.0,9390,25.0,70.0,690.0,18.0,3800,34.0
783,24.0,8850,22.5,50.0,435.0,18.5,2200,23.0
784,24.0,8850,11.0,0.0,420.0,0.0,1850,23.0
785,15.0,9297,18.0,50.0,420.0,18.0,2300,30.0
786,8.0,9615,21.5,80.0,380.0,17.0,2000,40.0
787,23.5,10303,23.5,60.0,380.0,17.5,2500,29.0
788,12.5,10660,15.0,80.0,400.0,18.5,2400,29.0
789,24.0,9320,19.0,50.0,420.0,22.0,2200,25.0
790,24.0,9320,12.5,0.0,420.0,0.0,1800,25.0
791,7.0,9587,16.0,50.0,420.0,20.5,2200,38.0
792,16.5,10177,19.0,60.0,380.0,20.5,2300,36.0
793,16.5,10177,4.5,0.0,380.0,0.0,1700,36.0
794,24.0,10367,18.5,50.0,380.0,20.0,2300,9.0
795,24.0,10367,10.0,0.0,380.0,0.0,1900,9.0
796,17.5,11080,22.5,60.0,400.0,21.5,2650,41.0
797,17.5,11080,4.0,0.0,380.0,0.0,2000,41.0
798,0.5,9618,6.0,40.0,380.0,21.0,2100,32.0
799,9.0,9880,16.0,55.0,380.0,18.5,2200,29.0
800,9.0,9880,11.5,0.0,380.0,0.0,2200,29.0
801,24.0,10322,22.5,60.0,390.0,17.5,2450,18.4
802,24.0,10322,15.0,0.0,390.0,0.0,2250,18.4
803,24.0,10870,21.5,50.0,400.0,19.0,2500,22.8
804,24.0,10870,16.0,0.0,380.0,0.0,2150,22.8
805,21.0,11150,16.0,60.0,410.0,22.0,2400,13.3
806,5.5,9832,17.5,70.0,390.0,18.5,1850,34.7
807,5.5,9832,3.5,0.0,400.0,0.0,1500,34.7
808,24.0,10910,17.5,70.0,380.0,17.5,2200,44.9
809,6.0,11170,20.0,70.0,400.0,16.5,2400,43.3
810,9.5,9708,18.0,70.0,380.0,21.0,2000,57.0
811,21.5,10612,16.0,70.0,380.0,19.0,2250,42.0
812,9.0,8860,12.5,65.0,415.0,7.0,2400,104.6
813,12.5,9494,19.0,60.0,380.0,8.5,2100,50.72
814,3.0,9612,19.0,60.0,380.0,7.0,2100,39.33
815,19.0,10114,26.0,60.0,400.0,8.5,2400,26.42
816,4.0,9652,14.0,45.0,380.0,15.0,1900,36.75
817,2.0,9745,14.0,45.0,380.0,15.0,1900,96.5
818,14.0,10214,17.0,50.0,380.0,16.5,1900,33.5
819,24.0,10870,17.5,50.0,400.0,15.0,2400,27.33
820,3.0,10950,17.5,40.0,420.0,15.0,2400,26.66
821,15.0,10902,15.0,50.0,390.0,21.5,2000,41.53
822,11.5,10501,18.5,60.0,380.0,18.0,1950,40.76
823,3.0,10688,19.0,50.0,420.0,18.0,2100,62.33
824,8.5,9154,18.5,75.0,420.0,19.0,2500,94.0
825,2.5,9265,21.5,70.0,380.0,21.0,2100,57.0
826,24.0,10090,20.0,70.0,380.0,18.5,2200,34.4
827,24.0,10090,20.0,0.0,380.0,0.0,1950,34.4
828,14.0,10532,19.5,70.0,390.0,14.5,2400,31.6
829,16.5,9025,16.0,75.0,420.0,21.0,2250,33.3
830,24.0,9695,15.0,70.0,380.0,14.0,2000,27.9
831,12.5,10016,22.5,70.0,380.0,12.5,2050,25.7
832,6.0,10180,15.0,60.0,380.0,17.5,2100,27.3
833,19.5,10719,17.5,70.0,420.0,20.0,2350,27.6
834,24.0,9925,18.0,75.0,450.0,19.0,2400,35.3
835,24.0,10710,17.0,65.0,380.0,17.0,2300,32.7
836,9.5,10949,18.5,70.0,400.0,17.5,2600,25.16
837,21.0,9690,16.5,50.0,380.0,8.0,2500,45.4
838,5.0,9835,19.0,60.0,380.0,8.0,2500,29.0
839,6.0,10050,17.5,60.0,400.0,8.0,2500,35.8
840,6.0,10166,21.0,60.0,420.0,8.0,2500,46.4
841,2.0,8230,12.5,40.0,420.0,12.0,2250,27.0
842,10.0,8660,10.5,70.0,420.0,12.0,1850,43.0
843,7.5,9012,10.5,70.0,420.0,12.0,2100,47.0
844,14.5,9530,10.5,65.0,380.0,13.0,19850,36.0
845,14.5,9530,12.5,0.0,380.0,0.0,1750,36.0
846,19.0,10480,18.0,55.0,400.0,17.0,2330,50.0
847,19.0,10480,4.0,0.0,380.0,0.0,1700,50.0
848,1.5,8320,14.0,40.0,390.0,16.0,1820,32.0
849,7.5,8512,16.0,50.0,430.0,18.0,2350,25.6
850,9.0,8887,17.0,60.0,440.0,20.0,2400,41.6
851,4.5,9090,23.0,60.0,430.0,20.0,2400,45.0
852,0.5,9136,23.0,60.0,440.0,20.0,2400,92.0
853,20.5,9850,21.5,60.0,380.0,20.5,2000,34.8
854,20.5,9850,16.0,0.0,380.0,0.0,1850,34.8
855,23.0,10578,15.0,55.0,400.0,18.0,2400,31.6
856,10.5,9400,22.5,100.0,475.0,22.0,2400,37.0
857,4.0,9590,16.5,120.0,500.0,22.0,2450,47.5
858,10.5,9885,16.0,130.0,475.0,22.0,2300,28.0
859,1.0,9903,16.0,130.0,500.0,22.0,2500,18.0
860,3.5,9979,18.0,130.0,500.0,22.0,2600,21.4
861,6.0,10063,8.0,150.0,500.0,24.0,2400,14.0
862,3.5,10081,8.0,150.0,450.0,24.0,2400,5.0
863,5.5,10160,10.0,0.0,420.0,0.0,1700,15.0
864,6.0,10215,10.0,100.0,420.0,24.0,1800,9.0
865,6.0,10215,10.0,0.0,420.0,0.0,1800,9.0
866,14.5,10421,11.0,130.0,420.0,24.0,1900,14.0
867,14.5,10421,13.0,0.0,420.0,0.0,2000,14.0
868,2.0,10434,5.0,130.0,420.0,24.0,1900,7.0
869,0.5,10460,7.0,0.0,420.0,0.0,2000,52.0
870,20.5,10847,9.0,0.0,420.0,0.0,2000,19.0
871,14.0,10390,19.5,40.0,380.0,16.0,2400,60.0
872,14.0,10390,19.0,0.0,380.0,0.0,2200,60.0
873,21.5,9660,18.0,45.0,370.0,18.0,2150,27.0
874,21.5,9660,18.0,0.0,375.0,0.0,1950,27.0
875,5.5,9833,18.0,45.0,370.0,18.0,2150,32.0
876,5.5,9833,16.5,0.0,375.0,0.0,3950,32.0
877,16.0,10533,10.0,52.5,370.0,21.0,2250,44.0
878,9.5,9286,14.5,55.0,260.0,12.5,700,2.0
879,7.0,9302,19.5,60.0,260.0,13.5,740,2.1
880,22.5,10325,12.5,70.0,370.0,19.0,2400,45.0
881,22.5,10325,3.0,0.0,380.0,0.0,2150,45.0
882,9.0,10609,15.0,70.0,380.0,19.0,2200,31.5
883,2.5,10712,16.5,60.0,420.0,19.0,2500,41.2
884,11.0,8420,8.5,75.0,450.0,25.0,2400,13.0
885,11.0,8420,9.5,0.0,450.0,0.0,2450,13.0
886,1.0,8483,9.5,0.0,450.0,0.0,2450,63.0
887,8.0,8830,11.0,0.0,420.0,0.0,2300,43.0
888,14.5,9476,24.0,72.5,380.0,12.0,2700,45.0
889,23.0,10110,11.5,57.5,390.0,23.0,2300,28.0
890,11.5,10380,16.0,75.0,420.0,23.0,2500,23.0
891,17.0,9780,18.5,55.0,380.0,16.5,2300,41.0
892,2.5,9812,18.5,70.0,380.0,18.5,2300,13.0
893,1.5,9908,10.0,40.0,380.0,14.0,2250,64.0
894,4.5,10038,18.5,70.0,380.0,19.5,2400,30.0
895,14.5,10410,16.5,55.0,400.0,18.5,2450,25.65
896,4.0,10487,16.5,60.0,410.0,18.5,2450,19.25
897,14.0,9430,18.5,60.0,380.0,24.0,1800,27.0
898,24.0,10190,18.5,75.0,380.0,24.0,3600,32.0
899,10.5,10492,18.5,75.0,390.0,24.0,2600,29.0
900,1.0,9703,3.0,40.0,380.0,22.0,2500,43.0
901,11.0,10049,3.0,40.0,380.0,22.0,2500,31.45
902,11.0,10049,6.5,0.0,380.0,0.0,1600,31.45
903,24.0,10740,10.0,50.0,380.0,12.0,2100,28.8
904,24.0,10740,6.0,0.0,380.0,0.0,1850,28.8
905,14.0,11263,30.5,60.0,380.0,11.0,2100,8.0
906,8.0,9380,15.0,85.0,380.0,20.0,2200,50.25
907,23.0,10421,18.0,80.0,400.0,19.0,2600,45.3
908,11.0,9430,14.0,62.5,420.0,21.5,2500,43.0
909,11.0,9430,20.0,0.0,420.0,0.0,2200,43.0
910,10.3,9907,12.0,70.0,420.0,20.5,2500,45.0
911,13.0,10313,12.0,70.0,410.0,20.5,2200,31.0
912,13.0,10313,15.0,0.0,400.0,0.0,2000,31.0
913,2.0,10551,16.0,70.0,400.0,20.5,2300,40.0
914,2.0,10551,10.0,0.0,400.0,0.0,2000,40.0
915,16.0,10776,16.0,70.0,380.0,17.0,2300,14.0
916,16.0,10776,10.0,0.0,380.0,0.0,2100,14.0
917,24.0,11270,18.0,72.5,410.0,17.0,2500,20.5
918,6.3,11314,16.0,75.0,440.0,20.5,2600,7.0
919,7.3,11390,16.0,75.0,440.0,20.5,2600,10.0
920,23.0,10193,21.0,70.0,380.0,21.0,2100,44.0
921,8.0,10614,21.0,65.0,400.0,21.0,2400,52.63
922,4.5,9242,21.0,70.0,380.0,20.0,2100,66.0
923,14.5,9965,21.0,70.0,400.0,20.0,2400,50.0
924,3.5,10160,19.0,70.0,420.0,19.0,2900,55.0
925,3.5,10283,19.0,70.0,420.0,19.0,2900,35.0
926,5.5,9580,17.0,40.0,550.0,19.5,3200,35.0
927,5.5,9580,14.0,0.0,550.0,0.0,3150,35.0
928,24.0,10445,19.0,65.0,415.0,17.0,2900,36.0
929,24.0,10445,11.0,0.0,450.0,0.0,2600,36.0
930,24.0,11015,14.0,65.0,450.0,21.0,2900,24.0
931,24.0,11015,11.0,0.0,450.0,0.0,2600,24.0
932,1.5,11030,15.0,60.0,450.0,21.0,2900,15.0
